key,value
dataset_name,UCI Bank Marketing Dataset (Bank Marketing Data Set)
source,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing
original_paper,Moro et al. (2014) — A Data-Driven Approach to Predict the Success of Bank Telemarketing
business_context,การตลาดทางโทรศัพท์ของธนาคารโปรตุเกส (Portuguese bank) — โทรเสนอสินเชื่อระยะยาว (term deposit) ให้ลูกค้า
goal,ทำนายว่าลูกค้าจะสมัคร term deposit (yes/no) เพื่อ optimize การโทร ลด cost และเพิ่ม conversion rate
column_descriptions,"{'age': 'อายุของลูกค้า (numeric)', 'job': 'อาชีพ (categorical): admin., blue-collar, entrepreneur, housemaid, management, retired, self-employed, services, student, technician, unemployed, unknown', 'marital': 'สถานภาพสมรส (categorical): divorced, married, single, unknown', 'education': 'ระดับการศึกษา (categorical): basic.4y, basic.6y, basic.9y, high.school, illiterate, professional.course, university.degree, unknown', 'default': 'มีหนี้เสียหรือไม่ (categorical): no, yes, unknown', 'housing': 'มีสินเชื่อบ้านหรือไม่ (categorical): no, yes, unknown', 'loan': 'มีสินเชื่อส่วนบุคคลหรือไม่ (categorical): no, yes, unknown', 'contact': 'รูปแบบการติดต่อ (categorical): cellular, telephone', 'month': 'เดือนสุดท้ายที่ติดต่อ (categorical): mar, apr, may, jun, jul, aug, sep, oct, nov, dec', 'day_of_week': 'วันสุดท้ายที่ติดต่อ (categorical): mon, tue, wed, thu, fri', 'duration': ""ระยะเวลาการโทรครั้งสุดท้าย (วินาที) — ⚠️ Highly predictive but should be removed in real prediction because it's unknown before call ends"", 'campaign': 'จำนวนครั้งที่ติดต่อลูกค้ารายนี้ใน campaign นี้', 'pdays': 'จำนวนวันตั้งแต่นัดหมายครั้งล่าสุด (-1 = ไม่เคยติดต่อมาก่อน)', 'previous': 'จำนวนครั้งที่ติดต่อก่อน campaign นี้', 'poutcome': 'ผลลัพธ์ของ campaign ก่อนหน้า (categorical): failure, nonexistent, success', 'emp.var.rate': 'อัตราการจ้างงาน (employment variation rate) — quarterly indicator', 'cons.price.idx': 'ดัชนีราคาผู้บริโภค (consumer price index) — monthly indicator', 'cons.conf.idx': 'ดัชนีความเชื่อมั่นผู้บริโภค (consumer confidence index) — monthly indicator', 'euribor3m': 'อัตราดอกเบี้ย Euribor 3 เดือน (daily indicator)', 'nr.employed': 'จำนวนพนักงาน (number of employees) — quarterly indicator'}"
target_variable,"{'name': 'y', 'description': 'ลูกค้าสมัคร term deposit หรือไม่ (binary: yes/no)', 'distribution': {'no': 0.8873458288821987, 'yes': 0.11265417111780131}}"
recommended_cleaning,"[""1. Handle 'unknown' values in categorical columns — map them as NaN or mode imputation"", '2. Duration feature: Keep for EDA but NOTE that it should be removed for real prediction model', ""3. pdays: Value -1 means 'not previously contacted' — keep as is or create flag feature"", ""4. No missing values in raw data — only 'unknown' categories"", '5. Check for outliers in age, campaign, duration, pdays', '6. Target is imbalanced (~11% yes) — will need stratified sampling or SMOTE']"
feature_engineering_opportunities,"['1. Contact month → seasonal features (quarter, peak season flag)', '2. pdays flag: is_contacted_before (True/False)', '3. Duration → interaction with campaign count', '4. Social/economic features (emp.var.rate, cons.price.idx, cons.conf.idx, euribor3m, nr.employed) → dimensionality reduction or trend features']"
warnings_for_dana,"[""⚠️ DO NOT remove 'y' column — it's the target"", ""⚠️ DO NOT impute duration — it's leaked information, mark it for Eddie to handle"", ""⚠️ Keep 'unknown' categories in training data — they may carry signal"", '⚠️ Check for data leakage: duration, poutcome, pdays have future information']"
quality_report,"{'shape': [41188, 21], 'dtypes': {'age': 'int64', 'job': 'str', 'marital': 'str', 'education': 'str', 'default': 'str', 'housing': 'str', 'loan': 'str', 'contact': 'str', 'month': 'str', 'day_of_week': 'str', 'duration': 'int64', 'campaign': 'int64', 'pdays': 'int64', 'previous': 'int64', 'poutcome': 'str', 'emp.var.rate': 'float64', 'cons.price.idx': 'float64', 'cons.conf.idx': 'float64', 'euribor3m': 'float64', 'nr.employed': 'float64', 'y': 'str'}, 'missing_values': {'age': 0, 'job': 0, 'marital': 0, 'education': 0, 'default': 0, 'housing': 0, 'loan': 0, 'contact': 0, 'month': 0, 'day_of_week': 0, 'duration': 0, 'campaign': 0, 'pdays': 0, 'previous': 0, 'poutcome': 0, 'emp.var.rate': 0, 'cons.price.idx': 0, 'cons.conf.idx': 0, 'euribor3m': 0, 'nr.employed': 0, 'y': 0}, 'unknown_values': {'job': np.int64(330), 'marital': np.int64(80), 'education': np.int64(1731), 'default': np.int64(8597), 'housing': np.int64(990), 'loan': np.int64(990)}, 'unique_counts': {'age': 78, 'job': 12, 'marital': 4, 'education': 8, 'default': 3, 'housing': 3, 'loan': 3, 'contact': 2, 'month': 10, 'day_of_week': 5, 'duration': 1544, 'campaign': 42, 'pdays': 27, 'previous': 8, 'poutcome': 3, 'emp.var.rate': 10, 'cons.price.idx': 26, 'cons.conf.idx': 26, 'euribor3m': 316, 'nr.employed': 11, 'y': 2}, 'target_column': 'y', 'num_features': 10, 'cat_features': 11}"
